algorithm,k,silhouette_score,minimum_cluster_share,maximum_cluster_share,operational_size_rule_pass,fit_and_score_seconds
K-Means,2,0.16463116017706375,0.4944178628389155,0.5055821371610846,True,0.20196477600075013
K-Means,3,0.1493107186083005,0.30928720402404614,0.35615261931051406,True,0.24742346300081408
K-Means,4,0.17016477824295675,0.026377131640289535,0.35161329898172006,False,0.26461735500015493
K-Means,5,0.15112718913394024,0.026377131640289535,0.29836829836829837,False,0.7178754249998747
K-Means,6,0.15775061014985386,0.026377131640289535,0.2749355907250644,False,0.4050488819993916
Gaussian mixture,2,0.13660840207803548,0.48337627284995704,0.5166237271500429,True,0.2537275849990692
Gaussian mixture,3,0.0635670440655144,0.026377131640289535,0.6507177033492823,False,0.22260660599931725
Gaussian mixture,4,0.09504736013468329,0.026377131640289535,0.5135566188197768,False,0.2587783889994171
Gaussian mixture,5,0.09107640775326191,0.06342780026990553,0.4501288185498712,True,0.3679722370015952
Gaussian mixture,6,0.09781807095039263,0.026377131640289535,0.4501288185498712,False,0.26010134700118215
