hour,n,mean_count,std_count,median_count,standard_error,ci95_low,ci95_high
0,398,53.00753768844221,41.59965659937873,39.0,2.0852023684892917,48.90811860329668,57.10695677358775
1,397,32.385390428211586,32.516508443788354,18.0,1.6319567780360273,29.177008104386534,35.593772752036635
2,391,22.506393861892583,25.960410392204025,11.0,1.3128743847789992,19.925197049625325,25.08759067415984
3,377,11.620689655172415,12.591870754481988,6.0,0.6485143378620675,10.345520303609362,12.895859006735467
4,385,6.062337662337662,4.276420297722216,5.0,0.21794655941409818,5.633819645697212,6.490855678978113
5,395,18.59746835443038,12.2467231158805,18.0,0.6161995137140012,17.386018137799038,19.80891857106172
6,398,72.85175879396985,53.62304886608762,70.5,2.6878805654095914,67.5675000309152,78.1360175570245
7,398,202.76884422110552,155.19334438120248,188.5,7.779139438432064,187.47538725893034,218.0623011832807
8,398,341.72361809045225,217.56016914630118,373.0,10.905305886577278,320.2842509784853,363.1629852024192
9,398,211.2889447236181,88.2873966740329,208.0,4.425447316197231,202.58870370026432,219.98918574697188
10,398,168.7211055276382,102.01671768360293,139.5,5.113635994354079,158.66791486061928,178.77429619465713
11,398,202.0502512562814,127.05807984873904,169.0,6.368846060143895,189.52937103676427,214.57113147579852
12,399,244.5889724310777,142.45472340289646,216.0,7.131656319125639,230.56854743325582,258.60939742889957
13,399,246.14786967418547,147.1230493412245,217.0,7.365364934624859,231.66798701767578,260.62775233069516
14,399,232.64661654135338,146.03824422462725,193.0,7.311056751084184,218.27350064140458,247.01973244130218
15,399,241.1954887218045,142.3672859199059,207.0,7.12727896986545,227.18366934016007,255.20730810344895
16,399,300.5563909774436,144.79948430947172,294.0,7.249041187361438,286.30519409896255,314.8075878559246
17,399,450.9273182957393,222.20502378106602,450.0,11.124165097059054,429.0578513125314,472.79678527894725
18,399,418.29323308270676,220.9491670075493,405.0,11.06129361985688,396.54736779750147,440.03909836791206
19,399,307.9273182957393,159.60657418537753,302.0,7.990322863102755,292.2188043969304,323.63583219454824
20,399,224.04010025062658,119.76051645890017,211.0,5.995524918961723,212.25324405798534,235.82695644326782
21,399,170.34085213032583,91.00998956862976,167.0,4.55619829028063,161.38362907503483,179.29807518561682
22,399,131.26315789473685,72.2604753829191,126.0,3.6175485345622422,124.15126612160262,138.37504966787108
23,399,86.8546365914787,52.2401097591112,74.0,2.6152766294852623,81.71315357666762,91.99611960628977
