month,n,mean_count,std_count,median_count,standard_error,ci95_low,ci95_high,label
1,884,90.36651583710407,95.3025179665717,65.0,3.2053705517728774,84.07548182209744,96.6575498521107,Jan
2,901,110.0033296337403,109.80232232927148,78.0,3.6580457275491285,102.82403690925308,117.1826223582275,Feb
3,901,148.16981132075472,155.35281358131567,100.0,5.175552610624265,138.01225453494862,158.3273681065608,Mar
4,909,184.16061606160616,182.41761929829326,133.0,6.0504105117123075,172.286201127838,196.0350309953743,Apr
5,912,219.4594298245614,189.32017293528276,182.0,6.269017372448294,207.15603550582327,231.76282414329953,May
6,912,242.03179824561403,199.62868956358082,206.0,6.61036646813639,229.05848194786643,255.00511454336163,Jun
7,912,235.32565789473685,184.8573374622095,209.5,6.121238122739714,223.3122909077593,247.3390248817144,Jul
8,912,234.1184210526316,197.19846080129503,193.0,6.529893552368448,221.30303859935265,246.93380350591053,Aug
9,909,233.8052805280528,208.91590991836705,188.0,6.929303333177838,220.20596808126643,247.40459297483918,Sep
10,455,174.77362637362637,149.7493035992168,140.0,7.020355635531689,160.97720260957686,188.57005013767588,Oct
11,456,155.45833333333334,129.37427779345768,133.5,6.058505648249055,143.55220996541092,167.36445670125576,Nov
12,456,134.1732456140351,113.48562685384374,110.5,5.314451396488226,123.72933128382347,144.6171599442467,Dec
