column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,zero_count,negative_count
season,10886.0,2.5066139996325556,1.116174309344325,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,0,0,0
holiday,10886.0,0.02856880396839978,0.16659885062470958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,10575,0
workingday,10886.0,0.6808745177291935,0.4661591687997356,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,3474,0
weather,10886.0,1.418427337865148,0.6338385858190958,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,0,0,0
temp,10886.0,20.230859819952233,7.791589843987567,0.82,4.92,8.2,13.94,20.5,26.24,32.8,36.08,41.0,0,0,0
atemp,10886.0,23.655084052911995,8.474600626484948,0.76,6.06,9.85,16.665,24.24,31.06,36.365,40.15,45.455,0,0,0
humidity,10886.0,61.88645967297446,19.245033277394693,0.0,22.0,31.0,47.0,62.0,77.0,93.0,100.0,100.0,0,22,0
windspeed,10886.0,12.7993954069447,8.16453732683869,0.0,0.0,0.0,7.0015,12.998,16.9979,27.9993,35.0008,56.9969,0,1313,0
casual,10886.0,36.02195480433584,49.960476572649526,0.0,0.0,0.0,4.0,17.0,49.0,141.0,240.14999999999964,367.0,0,986,0
registered,10886.0,155.5521771082124,151.03903308192454,0.0,1.0,4.0,36.0,118.0,222.0,464.0,697.0,886.0,0,15,0
count,10886.0,191.57413191254824,181.14445383028527,1.0,2.0,5.0,42.0,145.0,284.0,563.75,774.1499999999996,977.0,0,0,0
