dimension,group,rows,mae,rmse,rmsle,r2
season,4,1367,57.40915612496597,83.41014712079746,0.37390064875681667,0.8327125883187902
weather,1,778,59.31097105089411,83.8391399317171,0.3438144536513378,0.842486819528488
weather,2,495,51.70095032457474,76.35368961997584,0.39526225530590103,0.841487323469366
weather,3,94,71.72777164434427,110.90573703848386,0.4816619584804665,0.6172465140589514
weekday,Friday,192,55.51298447530561,78.76015352230523,0.31856666508631576,0.8419231447628553
weekday,Monday,216,51.10182897690484,78.90709291642646,0.3248435688126108,0.8411193142719294
weekday,Saturday,192,68.5607820478333,94.1921764107726,0.3793968965277706,0.7724422778251052
weekday,Sunday,192,47.73922009118258,73.38735834263841,0.3401480714513358,0.8256955964890927
weekday,Thursday,191,59.6056929657243,85.06219985383315,0.3729458204104841,0.8464143836683521
weekday,Tuesday,192,64.70851191098407,94.56150490324131,0.41625168689282166,0.7976692364147246
weekday,Wednesday,192,55.434928596380324,76.99847995422991,0.4515397147812454,0.8793308881836935
demand_range,1–50,311,5.8092074497388,8.121967392089894,0.4323538183189333,0.6565007061284913
demand_range,51–100,90,22.820511535107833,30.759872266128163,0.5129241474022037,-3.4084216480504663
demand_range,101–200,256,38.01850212714379,46.66875879371515,0.34477352218287244,-1.7226376788178492
demand_range,201–400,436,63.75667134043303,75.1859136965796,0.3335561033874885,-0.6628946476318267
demand_range,401+,274,135.3546044482569,152.62494730467546,0.3328483008500114,-0.3649801893278739
