dataset,year_month,rows,unique_dates,minimum_day,maximum_day
train,2011-01,431,19,1,19
train,2011-02,446,19,1,19
train,2011-03,446,19,1,19
train,2011-04,455,19,1,19
train,2011-05,456,19,1,19
train,2011-06,456,19,1,19
train,2011-07,456,19,1,19
train,2011-08,456,19,1,19
train,2011-09,453,19,1,19
train,2011-10,455,19,1,19
train,2011-11,456,19,1,19
train,2011-12,456,19,1,19
train,2012-01,453,19,1,19
train,2012-02,455,19,1,19
train,2012-03,455,19,1,19
train,2012-04,454,19,1,19
train,2012-05,456,19,1,19
train,2012-06,456,19,1,19
train,2012-07,456,19,1,19
train,2012-08,456,19,1,19
train,2012-09,456,19,1,19
train,2012-10,456,19,1,19
train,2012-11,455,19,1,19
train,2012-12,456,19,1,19
competition_test,2011-01,257,12,20,31
competition_test,2011-02,203,9,20,28
competition_test,2011-03,284,12,20,31
competition_test,2011-04,264,11,20,30
competition_test,2011-05,288,12,20,31
competition_test,2011-06,264,11,20,30
competition_test,2011-07,288,12,20,31
competition_test,2011-08,275,12,20,31
competition_test,2011-09,264,11,20,30
competition_test,2011-10,288,12,20,31
competition_test,2011-11,263,11,20,30
competition_test,2011-12,285,12,20,31
competition_test,2012-01,288,12,20,31
competition_test,2012-02,237,10,20,29
competition_test,2012-03,288,12,20,31
competition_test,2012-04,264,11,20,30
competition_test,2012-05,288,12,20,31
competition_test,2012-06,264,11,20,30
competition_test,2012-07,288,12,20,31
competition_test,2012-08,288,12,20,31
competition_test,2012-09,264,11,20,30
competition_test,2012-10,252,12,20,31
competition_test,2012-11,263,11,20,30
competition_test,2012-12,286,12,20,31
