year_month,rows,mean_count,median_count,minimum_count,maximum_count
2011-01,431,54.64501160092807,47.0,1,219
2011-02,446,73.64125560538116,59.0,1,327
2011-03,446,86.84977578475336,72.0,1,332
2011-04,455,111.02637362637363,84.0,1,452
2011-05,456,174.80921052631578,154.0,1,611
2011-06,456,196.87719298245614,172.0,1,638
2011-07,456,203.6140350877193,173.0,1,596
2011-08,456,182.66666666666666,159.0,1,600
2011-09,453,174.6225165562914,147.0,1,628
2011-10,455,174.77362637362637,140.0,1,625
2011-11,456,155.45833333333334,133.5,1,553
2011-12,456,134.1732456140351,110.5,1,477
2012-01,453,124.3532008830022,93.0,1,512
2012-02,455,145.64615384615385,118.0,1,539
2012-03,455,208.27692307692308,171.0,1,801
2012-04,454,257.45594713656385,233.5,1,822
2012-05,456,264.109649122807,234.5,1,873
2012-06,456,287.18640350877195,254.5,4,869
2012-07,456,267.0372807017544,244.0,2,872
2012-08,456,285.5701754385965,260.0,3,897
2012-09,456,292.5986842105263,245.5,3,977
2012-10,456,280.50877192982455,239.5,2,948
2012-11,455,231.98021978021978,202.0,1,724
2012-12,456,217.0548245614035,192.0,1,759
