feature,standardized_grid_value,average_prediction
numeric__temp,-1.6655215545571003,141.37223368142665
numeric__temp,-1.4987266868478182,142.43433466723326
numeric__temp,-1.3319318191385359,145.0001487858759
numeric__temp,-1.1651369514292536,154.28506169018064
numeric__temp,-0.9983420837199715,156.31483686641252
numeric__temp,-0.8315472160106893,158.65267275074586
numeric__temp,-0.6647523483014071,163.9837075338144
numeric__temp,-0.49795748059212475,167.432277679994
numeric__temp,-0.33116261288284266,175.87101866782254
numeric__temp,-0.16436774517356056,183.9188145284802
numeric__temp,0.0024271225357217485,197.77211254618314
numeric__temp,0.16922199024500406,204.71493695612958
numeric__temp,0.33601685795428615,211.77555967680766
numeric__temp,0.5028117256635682,212.31434091488129
numeric__temp,0.6696065933728508,212.95305506406353
numeric__temp,0.8364014610821329,213.2329307200299
numeric__temp,1.003196328791415,213.51089011919066
numeric__temp,1.169991196500697,214.05215581563291
numeric__temp,1.3367860642099791,214.00166618703926
numeric__temp,1.5035809319192615,213.3882026324792
numeric__humidity,-1.6112413310249925,195.55541021042123
numeric__humidity,-1.4410315789946098,195.5954107336729
numeric__humidity,-1.2708218269642269,194.67269711010695
numeric__humidity,-1.100612074933844,193.8268117114926
numeric__humidity,-0.9304023229034613,192.83966905669448
numeric__humidity,-0.7601925708730785,191.41481085855577
numeric__humidity,-0.5899828188426957,190.7490316386742
numeric__humidity,-0.41977306681231275,190.539834260482
numeric__humidity,-0.24956331478193006,186.14412919519725
numeric__humidity,-0.07935356275154737,184.68643725466848
numeric__humidity,0.09085618927883554,183.88997684229193
numeric__humidity,0.26106594130921845,182.232203603764
numeric__humidity,0.43127569333960114,179.30278888936977
numeric__humidity,0.6014854453699838,176.19841838385483
numeric__humidity,0.771695197400367,170.7324818438002
numeric__humidity,0.9419049494307496,165.4960306600825
numeric__humidity,1.1121147014611323,157.85864148183782
numeric__humidity,1.282324453491515,151.95579318577933
numeric__humidity,1.4525342055218977,149.22706561587685
numeric__humidity,1.6227439575522808,144.23995843216733
numeric__windspeed,-1.5621500609049306,185.42851230612092
numeric__windspeed,-1.3837724080986167,185.42851230612092
numeric__windspeed,-1.205394755292303,185.42851230612092
numeric__windspeed,-1.0270171024859893,185.28448571055193
numeric__windspeed,-0.8486394496796754,185.2763107961881
numeric__windspeed,-0.6702617968733616,185.21564957996742
numeric__windspeed,-0.49188414406704783,185.446769490325
numeric__windspeed,-0.31350649126073393,185.25487337578485
numeric__windspeed,-0.13512883845442025,185.17981714863814
numeric__windspeed,0.04324881435189343,184.75873758226876
numeric__windspeed,0.22162646715820733,184.2690848135694
numeric__windspeed,0.40000411996452123,183.6907188760685
numeric__windspeed,0.5783817727708349,183.5387679006057
numeric__windspeed,0.7567594255771486,182.973334311939
numeric__windspeed,0.9351370783834627,182.651666150482
numeric__windspeed,1.1135147311897764,182.31482436180485
numeric__windspeed,1.29189238399609,182.20776043508198
numeric__windspeed,1.4702700368024038,182.18378811577458
numeric__windspeed,1.6486476896087174,182.07060865249497
numeric__windspeed,1.8270253424150318,181.8917043978285
