dataset,column,pandas_dtype,non_null_count,missing_count,missing_pct,unique_count
train,datetime,object,10886,0,0.0,10886
train,season,int64,10886,0,0.0,4
train,holiday,int64,10886,0,0.0,2
train,workingday,int64,10886,0,0.0,2
train,weather,int64,10886,0,0.0,4
train,temp,float64,10886,0,0.0,49
train,atemp,float64,10886,0,0.0,60
train,humidity,int64,10886,0,0.0,89
train,windspeed,float64,10886,0,0.0,28
train,casual,int64,10886,0,0.0,309
train,registered,int64,10886,0,0.0,731
train,count,int64,10886,0,0.0,822
competition_test,datetime,object,6493,0,0.0,6493
competition_test,season,int64,6493,0,0.0,4
competition_test,holiday,int64,6493,0,0.0,2
competition_test,workingday,int64,6493,0,0.0,2
competition_test,weather,int64,6493,0,0.0,4
competition_test,temp,float64,6493,0,0.0,49
competition_test,atemp,float64,6493,0,0.0,65
competition_test,humidity,int64,6493,0,0.0,79
competition_test,windspeed,float64,6493,0,0.0,27
sample_submission,datetime,object,6493,0,0.0,6493
sample_submission,count,int64,6493,0,0.0,1
