bin_left,bin_right,row_count,bin_label
1.0,49.8,2939,1–50
49.8,98.6,1345,50–99
98.6,147.39999999999998,1214,99–147
147.39999999999998,196.2,1123,147–196
196.2,245.0,930,196–245
245.0,293.79999999999995,756,245–294
293.79999999999995,342.59999999999997,575,294–343
342.59999999999997,391.4,492,343–391
391.4,440.2,346,391–440
440.2,489.0,287,440–489
489.0,537.8,229,489–538
537.8,586.5999999999999,197,538–587
586.5999999999999,635.4,121,587–635
635.4,684.1999999999999,112,635–684
684.1999999999999,733.0,71,684–733
733.0,781.8,45,733–782
781.8,830.5999999999999,44,782–831
830.5999999999999,879.4,41,831–879
879.4,928.1999999999999,14,879–928
928.1999999999999,977.0,5,928–977
