feature,bin_number,n,feature_mean,feature_min,feature_max,mean_count,std_count,ci95_low,ci95_high
temp,1,1197,7.778696741854637,0.82,9.84,70.13032581453633,82.90449470193631,65.42901658466295,74.83163504440972
temp,2,958,11.943924843423801,10.66,13.12,105.23799582463465,103.5296904241622,98.67382520517252,111.80216644409678
temp,3,793,14.603858764186635,13.94,15.58,128.6343001261034,114.71292642367091,120.63801904203817,136.63058121016863
temp,4,1162,17.698450946643717,16.4,18.86,143.08261617900172,138.2075050185451,135.1278092694886,151.03742308851483
temp,5,759,20.69554677206851,19.68,21.32,175.7483530961792,159.777504168494,164.3632531672286,187.13345302512977
temp,6,884,22.805090497737556,22.14,23.78,194.8054298642534,167.91576426572615,183.72110798912678,205.88975173938002
temp,7,1160,25.480793103448278,24.6,26.24,222.33793103448275,197.33346979453688,210.97020445755814,233.70565761140736
temp,8,1019,27.904946025515212,27.06,28.7,222.33071638861628,200.02579781697,210.03472169313054,234.62671108410203
temp,9,642,29.900623052959503,29.52,30.34,287.7772585669782,191.32676244593247,272.9494455125735,302.60507162138293
temp,10,945,33.29373544973545,31.16,41.0,344.10793650793653,181.7112832380337,332.50758191563256,355.7082911002405
atemp,1,979,9.11694075587334,0.76,11.365,74.56996935648621,86.36230548621755,69.15346903501124,79.98646967796118
atemp,2,1027,13.74958617332035,12.12,15.15,98.73904576436222,105.24263279936862,92.29487264055928,105.18321888816516
atemp,3,966,17.389135610766044,15.91,19.695,123.71635610766046,115.41552001658145,116.42902016987276,131.00369204544816
atemp,4,1162,21.653145438898452,20.455,22.725,143.08261617900172,138.2075050185451,135.1278092694886,151.03742308851483
atemp,5,761,24.423712220762155,23.485,25.0,175.38896189224704,159.72600251054888,164.02254532629883,186.75537845819525
atemp,6,964,26.421509336099586,25.76,27.275,185.59439834024897,165.60687479067596,175.12711167436873,196.0616850061292
atemp,7,820,29.56683536585366,28.03,30.305,170.2560975609756,172.6928509836038,158.41865710494724,182.09353801700397
atemp,8,1189,31.57666947014298,31.06,32.575,293.677039529016,210.4998899988899,281.69993816680966,305.6541408912223
atemp,9,864,34.025225694444444,33.335,34.85,267.662037037037,190.6811335369164,254.92969024188184,280.39438383219215
atemp,10,787,37.935425667090215,35.605,45.455,330.90088945362135,181.98463525089485,318.1668932266286,343.6348856806141
humidity,1,1029,29.38581146744412,0.0,36.0,286.72594752186586,199.88259860940715,274.4987474464455,298.9531475972862
humidity,2,971,40.14315139031926,37.0,43.0,255.79608650875386,190.66452328180262,243.7886414895558,267.8035315279519
humidity,3,915,46.58360655737705,44.0,49.0,215.60983606557377,166.96286131504516,204.7772311160302,226.44244101511734
humidity,4,987,52.59473150962513,50.0,55.0,205.12968591691995,184.32165366098235,193.61639953929503,216.64297229454488
humidity,5,902,58.56319290465632,56.0,61.0,177.8957871396896,160.63163408564498,167.39892022887807,188.3926540505011
humidity,6,989,64.9191102123357,62.0,68.0,186.86248736097068,176.33363234801706,175.85932673150577,197.86564799043558
humidity,7,991,71.45206861755803,69.0,74.0,166.06760847628658,168.70277033115408,155.5512651486646,176.58395180390855
humidity,8,917,77.96728462377317,75.0,81.0,126.74263904034896,141.12625298840572,117.59633868229493,135.88893939840298
humidity,9,1092,85.26282051282051,82.0,88.0,118.66483516483517,132.93017032643831,110.77182974014482,126.55784058952551
humidity,10,726,93.88292011019284,89.0,100.0,74.68870523415978,100.0421955623824,67.39935830028975,81.97805216802982
windspeed,1,1907,2.4019095962244363,0.0,6.0032,150.11274252753014,161.70626272403464,142.8504212358062,157.37506381925408
windspeed,2,1863,8.05392147074611,7.0015,8.9981,166.25281803542674,166.84539097993942,158.67161247072855,173.83402360012494
windspeed,3,910,11.001399999999999,11.0014,11.0014,189.60879120879122,180.68197641241753,177.8538387406991,201.36374367688333
windspeed,4,910,12.998000000000001,12.998,12.998,196.72747252747251,182.8130162608695,184.83387716525473,208.6210678896903
windspeed,5,828,15.0013,15.0013,15.0013,202.2512077294686,182.5646387949264,189.79787331256858,214.70454214636862
windspeed,6,724,16.9979,16.9979,16.9979,210.59530386740332,189.54358233522933,196.76551573094002,224.4250920038666
windspeed,7,593,19.0012,19.0012,19.0012,210.82462057335582,186.95982441919824,195.74613088704297,225.90311025966867
windspeed,8,1011,21.620754203758654,19.9995,23.9994,201.74975272007913,179.02430192750887,190.70120352700815,212.7983019131501
windspeed,9,773,30.49100659767141,26.0027,56.9969,202.52652005174645,172.89119757790118,190.31941611742985,214.73362398606304
