,count,unique,top,freq,mean,min,25%,50%,75%,max,std
frequency,4338.0,,,,4.272014753342554,1.0,1.0,2.0,5.0,209.0,7.697997826095039
monetary,4338.0,,,,2048.688080682342,3.75,306.48249999999996,668.57,1660.5974999999999,280206.02,8985.230220008294
product_breadth,4338.0,,,,61.50115260488705,1.0,16.0,35.0,77.0,1787.0,85.36676760515635
total_units,4338.0,,,,1187.6445366528353,1.0,159.0,378.0,989.75,196915.0,5043.619654270289
primary_country,4338,37,United Kingdom,3920,,,,,,,
average_order_value,4338.0,,,,417.6457348818341,3.45,177.86708333333334,291.94,428.28062500000004,84236.25,1796.5113429217033
average_basket_units,4338.0,,,,252.46289248947517,1.0,92.0,161.0,270.0,74215.0,1312.76933657308
cancellation_rate,4338.0,,,,0.024696738871307085,0.0,0.0,0.0,0.02,0.9411764705882353,0.06597013615478836
recency_days,4338.0,,,,93.05947441217151,1.0,18.0,51.0,142.75,374.0,100.01226424171828
tenure_days,4338.0,,,,130.77155371138772,0.0,0.0,93.0,252.0,373.0,132.21050930609553
snapshot_date,4338,,,,2011-12-10 00:00:00,2011-12-10 00:00:00,2011-12-10 00:00:00,2011-12-10 00:00:00,2011-12-10 00:00:00,2011-12-10 00:00:00,
