frequency,monetary,product_breadth,total_units,primary_country,average_order_value,average_basket_units,cancellation_rate,recency_days,tenure_days,partition,masked_customer_id,cluster,distance_to_centroid,assignment_margin,persona
1,77183.6,1,74215,United Kingdom,77183.6,74215.0,0.5,326,0,discovery,035aa6dd9298,1,3.436748046571211,0.5494008293837718,Established mid-value customers
1,334.4,17,197,Norway,334.4,197.0,0.0,311,0,discovery,78e909fe3321,3,0.5032703561658874,1.5207220066940526,Long-recency customers
8,2506.04,59,536,Norway,313.255,67.0,0.10526315789473684,37,260,discovery,6542d9ec09a4,0,0.8581858277265567,0.3643330731332325,High-value frequent customers
1,89.0,4,20,Bahrain,89.0,20.0,0.0,205,0,discovery,c0549693522f,3,0.9130146978569987,1.0534636765620276,Long-recency customers
1,459.4,13,240,Bahrain,459.4,240.0,0.0,215,0,discovery,bb651c1504ac,3,0.6170044552800423,1.0979868487942572,Long-recency customers
3,2811.43,53,1591,Portugal,937.1433333333333,530.3333333333334,0.0,23,303,discovery,52e1b53e71a6,0,1.0449279978567823,0.02314889764657857,High-value frequent customers
1,6207.67,131,2708,Switzerland,6207.67,2708.0,0.0,34,0,discovery,8369fe44da84,1,2.0543144155740287,0.27409280146468173,Established mid-value customers
2,1168.06,13,248,Austria,584.03,124.0,0.0,2,149,discovery,86f4fdfa4a0d,0,1.7758793001658937,0.15909863079810194,High-value frequent customers
4,6310.03,214,1609,Cyprus,1577.5075,402.25,0.02390438247011952,58,274,discovery,f131e0fe1098,1,1.3138965117218409,0.09400715912705482,Established mid-value customers
3,2662.06,105,1165,Austria,887.3533333333334,388.3333333333333,0.0,53,148,discovery,188f12f5446d,1,0.715686210803881,0.7271451087599637,Established mid-value customers
1,189.9,10,91,Belgium,189.9,91.0,0.0,288,0,discovery,69ece6752dff,3,0.37507323488576894,1.611141737214545,Long-recency customers
4,1313.1,70,1506,Belgium,328.275,376.5,0.0,8,105,discovery,c508b915d14b,0,0.8490091652898858,0.61987043178358,High-value frequent customers
1,168.9,11,173,Denmark,168.9,173.0,0.0,5,0,discovery,6f0a3882847b,2,1.234747975063474,1.5037515761841473,Recent occasional customers
4,3541.94,143,2352,Cyprus,885.4849999999999,588.0,0.0,52,309,discovery,6d46a3cd6242,1,0.9561171494903878,0.29142038079125576,Established mid-value customers
