month,cluster,revenue,orders,units
2010-12,0,414976.29,851,222902
2010-12,1,108487.88,346,58824
2010-12,2,6095.74,32,3258
2010-12,3,40862.82,171,26064
2011-01,0,344778.05,597,195822
2011-01,1,184267.36000000002,256,133287
2011-01,2,2515.52,15,1424
2011-01,3,36540.38,119,17940
2011-02,0,310725.7,581,186124
2011-02,1,95007.81,270,57828
2011-02,2,3452.04,20,2270
2011-02,3,36899.37,126,18805
2011-03,0,413904.8,779,244294
2011-03,1,127094.93000000001,326,74098
2011-03,2,4433.21,31,2146
2011-03,3,48648.82,185,27044
2011-04,0,293906.6,674,185781
2011-04,1,135713.84100000001,320,84305
2011-04,2,2969.14,14,1786
2011-04,3,35784.75,141,19494
2011-05,0,481239.74,963,263824
2011-05,1,153538.03,425,85385
2011-05,2,4377.29,24,2612
2011-05,3,38200.090000000004,143,21043
2011-06,0,460350.13,853,267346
2011-06,1,166189.38999999998,383,74307
2011-06,2,4679.31,27,2936
2011-06,3,28827.22,130,18425
2011-07,0,438261.09,817,257538
2011-07,1,125802.211,372,86827
2011-07,2,4889.68,28,2991
2011-07,3,30009.920000000002,114,20004
2011-08,0,476460.13,813,289528
2011-08,1,134095.31,349,87246
2011-08,2,4506.44,27,3704
2011-08,3,28989.16,91,16895
2011-09,0,676549.8,1063,369575
2011-09,1,202260.311,476,125227
2011-09,2,59480.821,154,41033
2011-09,3,12399.27,62,7817
2011-10,0,740503.82,1108,410101
2011-10,1,188860.43,473,115606
2011-10,2,106251.2,346,65824
2011-10,3,27.0,2,12
2011-11,0,886033.09,1728,495703
2011-11,1,144806.24,435,89672
2011-11,2,125366.28,494,80548
2011-12,0,485427.81,654,267024
2011-12,1,1104.14,4,599
2011-12,2,30658.49,120,19154
